Commodity,State,Units,Year,Value
Beef and veal,Minnesota,Million dollars,2009,69.3309
Beef and veal,Minnesota,Million dollars,2010,96.0449
Beef and veal,Minnesota,Million dollars,2011,112.2961
Beef and veal,Minnesota,Million dollars,2012,122.5519
Beef and veal,Minnesota,Million dollars,2013,152.1913
Beef and veal,Minnesota,Million dollars,2014,169.8145
Beef and veal,Minnesota,Million dollars,2015,164.9415
Beef and veal,Minnesota,Million dollars,2016,182.81
Beef and veal,Minnesota,Million dollars,2017,218.3451
Beef and veal,Minnesota,Million dollars,2018,256.7663
Beef and veal,Minnesota,Million dollars,2019,218.5512
Beef and veal,Minnesota,Million dollars,2020,199.6062
Beef and veal,Minnesota,Million dollars,2022,285.0535
Beef and veal,Minnesota,Million dollars,2023,235.3521
Beef and veal,Minnesota,Million dollars,2021,238.8138
Beef and veal,Mississippi,Million dollars,2000,18.8702
Beef and veal,Mississippi,Million dollars,2001,16.5253
Beef and veal,Mississippi,Million dollars,2002,16.2411
Beef and veal,Mississippi,Million dollars,2003,17.6991
Beef and veal,Mississippi,Million dollars,2004,3.4434
Beef and veal,Mississippi,Million dollars,2005,8.3224
Beef and veal,Mississippi,Million dollars,2006,7.8089
Beef and veal,Mississippi,Million dollars,2007,9.7955
Beef and veal,Mississippi,Million dollars,2008,9.914
Beef and veal,Mississippi,Million dollars,2009,9.5612
Beef and veal,Mississippi,Million dollars,2010,14.9303
Beef and veal,Mississippi,Million dollars,2011,12.775
Beef and veal,Mississippi,Million dollars,2012,20.8009
Beef and veal,Mississippi,Million dollars,2013,19.267
Beef and veal,Mississippi,Million dollars,2014,25.9013
Beef and veal,Mississippi,Million dollars,2015,20.6917
Beef and veal,Mississippi,Million dollars,2016,21.1644
Beef and veal,Mississippi,Million dollars,2017,21.0256
Beef and veal,Mississippi,Million dollars,2018,27.7351
Beef and veal,Mississippi,Million dollars,2019,19.7724
Beef and veal,Mississippi,Million dollars,2020,22.9268
Beef and veal,Mississippi,Million dollars,2022,36.0768
Beef and veal,Mississippi,Million dollars,2023,32.7663
Beef and veal,Mississippi,Million dollars,2021,31.999
Beef and veal,Missouri,Million dollars,2000,92.5989
Beef and veal,Missouri,Million dollars,2001,77.7907
Beef and veal,Missouri,Million dollars,2002,69.0812
Beef and veal,Missouri,Million dollars,2003,102.6455
Beef and veal,Missouri,Million dollars,2004,22.6574
Beef and veal,Missouri,Million dollars,2005,39.1092
Beef and veal,Missouri,Million dollars,2006,59.8312
Beef and veal,Missouri,Million dollars,2007,74.9521
Beef and veal,Missouri,Million dollars,2008,83.5423
Beef and veal,Missouri,Million dollars,2009,87.3516
Beef and veal,Missouri,Million dollars,2010,112.5024
Beef and veal,Missouri,Million dollars,2011,137.2346
Beef and veal,Missouri,Million dollars,2012,152.579
Beef and veal,Missouri,Million dollars,2013,135.8493
Beef and veal,Missouri,Million dollars,2014,179.8696
Beef and veal,Missouri,Million dollars,2015,165.8716
Beef and veal,Missouri,Million dollars,2016,153.3088
Beef and veal,Missouri,Million dollars,2017,210.6333
Beef and veal,Missouri,Million dollars,2018,270.4601
Beef and veal,Missouri,Million dollars,2019,232.9666
Beef and veal,Missouri,Million dollars,2020,197.0589
Beef and veal,Missouri,Million dollars,2022,303.69
Beef and veal,Missouri,Million dollars,2023,309.7089
Beef and veal,Missouri,Million dollars,2021,318.2448
Beef and veal,Montana,Million dollars,2000,85.7457
Beef and veal,Montana,Million dollars,2001,81.123
Beef and veal,Montana,Million dollars,2002,73.0394
Beef and veal,Montana,Million dollars,2003,81.9755
Beef and veal,Montana,Million dollars,2004,18.4448
Beef and veal,Montana,Million dollars,2005,30.0568
Beef and veal,Montana,Million dollars,2006,43.396
Beef and veal,Montana,Million dollars,2007,50.6144
Beef and veal,Montana,Million dollars,2008,64.1089
Beef and veal,Montana,Million dollars,2009,67.0989
Beef and veal,Montana,Million dollars,2010,86.2676
Beef and veal,Montana,Million dollars,2011,105.0233
Beef and veal,Montana,Million dollars,2012,112.5045
Beef and veal,Montana,Million dollars,2013,139.3973
Beef and veal,Montana,Million dollars,2014,175.639
Beef and veal,Montana,Million dollars,2015,132.211
Beef and veal,Montana,Million dollars,2016,141.0096
Beef and veal,Montana,Million dollars,2017,163.2467
Beef and veal,Montana,Million dollars,2018,169.0143
Beef and veal,Montana,Million dollars,2019,165.7035
Beef and veal,Montana,Million dollars,2020,154.2597
Beef and veal,Montana,Million dollars,2022,218.5052
Beef and veal,Montana,Million dollars,2023,191.7088
Beef and veal,Montana,Million dollars,2021,223.6037
Beef and veal,Nebraska,Million dollars,2000,437.9254
Beef and veal,Nebraska,Million dollars,2001,425.5155
Beef and veal,Nebraska,Million dollars,2002,417.0272
Beef and veal,Nebraska,Million dollars,2003,502.0512
Beef and veal,Nebraska,Million dollars,2004,105.5317
Beef and veal,Nebraska,Million dollars,2005,183.135
Beef and veal,Nebraska,Million dollars,2006,278.6099
Beef and veal,Nebraska,Million dollars,2007,380.8894
Beef and veal,Nebraska,Million dollars,2008,466.9443
Beef and veal,Nebraska,Million dollars,2009,439.7715
Beef and veal,Nebraska,Million dollars,2010,564.5254
Beef and veal,Nebraska,Million dollars,2011,762.21
Beef and veal,Nebraska,Million dollars,2012,832.1899
Beef and veal,Nebraska,Million dollars,2013,943.227
Beef and veal,Nebraska,Million dollars,2014,1129.2743
Beef and veal,Nebraska,Million dollars,2015,1020.7256
Beef and veal,Nebraska,Million dollars,2016,1096.0044
Beef and veal,Nebraska,Million dollars,2017,1102.024
Beef and veal,Nebraska,Million dollars,2018,1324.781
Beef and veal,Nebraska,Million dollars,2019,1289.6816
Beef and veal,Nebraska,Million dollars,2020,1162.3746
Beef and veal,Nebraska,Million dollars,2022,1855.6977
Beef and veal,Nebraska,Million dollars,2023,1590.0387
Beef and veal,Nebraska,Million dollars,2021,1641.7874
Beef and veal,Nevada,Million dollars,2000,14.8683
Beef and veal,Nevada,Million dollars,2001,16.1639
Beef and veal,Nevada,Million dollars,2002,11.9821
Beef and veal,Nevada,Million dollars,2003,15.5354
Beef and veal,Nevada,Million dollars,2004,3.5957
Beef and veal,Nevada,Million dollars,2005,5.856
Beef and veal,Nevada,Million dollars,2006,8.2909
Beef and veal,Nevada,Million dollars,2007,10.5199
Beef and veal,Nevada,Million dollars,2008,12.2274
Beef and veal,Nevada,Million dollars,2009,13.5634
Beef and veal,Nevada,Million dollars,2010,17.3325
Beef and veal,Nevada,Million dollars,2011,21.8352
Beef and veal,Nevada,Million dollars,2012,24.434
Beef and veal,Nevada,Million dollars,2013,27.0599
Beef and veal,Nevada,Million dollars,2014,34.4861
Beef and veal,Nevada,Million dollars,2015,32.0933
Beef and veal,Nevada,Million dollars,2016,29.2611
Beef and veal,Nevada,Million dollars,2017,33.417
Beef and veal,Nevada,Million dollars,2018,40.5895
Beef and veal,Nevada,Million dollars,2019,38.3575
Beef and veal,Nevada,Million dollars,2020,38.2239
Beef and veal,Nevada,Million dollars,2022,51.8338
Beef and veal,Nevada,Million dollars,2023,46.3048
Beef and veal,Nevada,Million dollars,2021,53.8769
Beef and veal,New Hampshire,Million dollars,2000,0.8387
Beef and veal,New Hampshire,Million dollars,2001,0.5932
Beef and veal,New Hampshire,Million dollars,2002,0.5485
Beef and veal,New Hampshire,Million dollars,2003,0.5539
Beef and veal,New Hampshire,Million dollars,2004,0.1192
Beef and veal,New Hampshire,Million dollars,2005,0.246
Beef and veal,New Hampshire,Million dollars,2006,0.4349
Beef and veal,New Hampshire,Million dollars,2007,0.3277
Beef and veal,New Hampshire,Million dollars,2008,0.3469
Beef and veal,New Hampshire,Million dollars,2009,0.4939
Beef and veal,New Hampshire,Million dollars,2010,0.6112
Beef and veal,New Hampshire,Million dollars,2011,0.611
Beef and veal,New Hampshire,Million dollars,2012,1.0385
Beef and veal,New Hampshire,Million dollars,2013,0.8847
Beef and veal,New Hampshire,Million dollars,2014,1.3512
Beef and veal,New Hampshire,Million dollars,2015,0.7494
Beef and veal,New Hampshire,Million dollars,2016,0.924
Beef and veal,New Hampshire,Million dollars,2017,0.8391
Beef and veal,New Hampshire,Million dollars,2018,1.2088
Beef and veal,New Hampshire,Million dollars,2019,0.9907
Beef and veal,New Hampshire,Million dollars,2020,1.0366
Beef and veal,New Hampshire,Million dollars,2022,1.3495
Beef and veal,New Hampshire,Million dollars,2023,1.4343
Beef and veal,New Hampshire,Million dollars,2021,1.2356
Beef and veal,New Jersey,Million dollars,2000,0.6782
Beef and veal,New Jersey,Million dollars,2001,0.7723
Beef and veal,New Jersey,Million dollars,2002,0.5007
Beef and veal,New Jersey,Million dollars,2003,0.5929
Beef and veal,New Jersey,Million dollars,2004,0.1304
Beef and veal,New Jersey,Million dollars,2005,0.2414
Beef and veal,New Jersey,Million dollars,2006,0.4047
Beef and veal,New Jersey,Million dollars,2007,0.2804
Beef and veal,New Jersey,Million dollars,2008,0.3444
Beef and veal,New Jersey,Million dollars,2009,0.4048
Beef and veal,New Jersey,Million dollars,2010,0.5599
Beef and veal,New Jersey,Million dollars,2011,0.7691
Beef and veal,New Jersey,Million dollars,2012,0.7086
Beef and veal,New Jersey,Million dollars,2013,1.0872
Beef and veal,New Jersey,Million dollars,2014,0.8363
Beef and veal,New Jersey,Million dollars,2015,0.9313
Beef and veal,New Jersey,Million dollars,2016,0.7529
Beef and veal,New Jersey,Million dollars,2017,0.6763
Beef and veal,New Jersey,Million dollars,2018,0.7243
Beef and veal,New Jersey,Million dollars,2019,1.1129
Beef and veal,New Jersey,Million dollars,2020,1.2452
Beef and veal,New Jersey,Million dollars,2022,2.0388
Beef and veal,New Jersey,Million dollars,2023,1.7765
Beef and veal,New Jersey,Million dollars,2021,1.6183
Beef and veal,New Mexico,Million dollars,2000,81.4804
Beef and veal,New Mexico,Million dollars,2001,67.7774
Beef and veal,New Mexico,Million dollars,2002,51.4197
Beef and veal,New Mexico,Million dollars,2003,64.4506
Beef and veal,New Mexico,Million dollars,2004,16.0256
Beef and veal,New Mexico,Million dollars,2005,26.7175
Beef and veal,New Mexico,Million dollars,2006,38.3954
Beef and veal,New Mexico,Million dollars,2007,50.907
Beef and veal,New Mexico,Million dollars,2008,64.7412
Beef and veal,New Mexico,Million dollars,2009,62.13
Beef and veal,New Mexico,Million dollars,2010,83.1713
Beef and veal,New Mexico,Million dollars,2011,117.1993
Beef and veal,New Mexico,Million dollars,2012,118.7904
Beef and veal,New Mexico,Million dollars,2013,87.4263
Beef and veal,New Mexico,Million dollars,2014,95.9999
Beef and veal,New Mexico,Million dollars,2015,79.6427
Beef and veal,New Mexico,Million dollars,2016,89.4288
Beef and veal,New Mexico,Million dollars,2017,87.5581
Beef and veal,New Mexico,Million dollars,2018,116.5054
Beef and veal,New Mexico,Million dollars,2019,121.4583
Beef and veal,New Mexico,Million dollars,2020,116.2766
Beef and veal,New Mexico,Million dollars,2022,158.7917
Beef and veal,New Mexico,Million dollars,2023,169.1572
Beef and veal,New Mexico,Million dollars,2021,152.6343
Beef and veal,New York,Million dollars,2000,15.2975
Beef and veal,New York,Million dollars,2001,12.7265
Beef and veal,New York,Million dollars,2002,9.0418
Beef and veal,New York,Million dollars,2003,10.2641
Beef and veal,New York,Million dollars,2004,2.1684
Beef and veal,New York,Million dollars,2005,4.845
Beef and veal,New York,Million dollars,2006,6.1736
Beef and veal,New York,Million dollars,2007,5.5182
Beef and veal,New York,Million dollars,2008,10.083
Beef and veal,New York,Million dollars,2009,8.4908
Beef and veal,New York,Million dollars,2010,14.2198
Beef and veal,New York,Million dollars,2011,22.1842
Beef and veal,New York,Million dollars,2012,27.0938
Beef and veal,New York,Million dollars,2013,25.5068
Beef and veal,New York,Million dollars,2014,36.4242
Beef and veal,New York,Million dollars,2015,30.3973
Beef and veal,New York,Million dollars,2016,26.9985
Beef and veal,New York,Million dollars,2017,36.0043
Beef and veal,New York,Million dollars,2018,42.2655
Beef and veal,New York,Million dollars,2019,32.5544
Beef and veal,New York,Million dollars,2020,35.1025
Beef and veal,New York,Million dollars,2022,48.7948
Beef and veal,New York,Million dollars,2023,42.2532
Beef and veal,New York,Million dollars,2021,47.1146
Beef and veal,North Carolina,Million dollars,2000,20.5325
Beef and veal,North Carolina,Million dollars,2001,19.1243
Beef and veal,North Carolina,Million dollars,2002,18.8245
Beef and veal,North Carolina,Million dollars,2003,18.7067
Beef and veal,North Carolina,Million dollars,2004,4.4017
Beef and veal,North Carolina,Million dollars,2005,6.9623
Beef and veal,North Carolina,Million dollars,2006,9.2574
Beef and veal,North Carolina,Million dollars,2007,11.3412
Beef and veal,North Carolina,Million dollars,2008,13.0667
Beef and veal,North Carolina,Million dollars,2009,15.0697
Beef and veal,North Carolina,Million dollars,2010,18.4614
Beef and veal,North Carolina,Million dollars,2011,24.7806
Beef and veal,North Carolina,Million dollars,2012,26.0796
Beef and veal,North Carolina,Million dollars,2013,28.9389
Beef and veal,North Carolina,Million dollars,2014,37.8781
Beef and veal,North Carolina,Million dollars,2015,33.0439
Beef and veal,North Carolina,Million dollars,2016,25.494
Beef and veal,North Carolina,Million dollars,2017,33.3711
Beef and veal,North Carolina,Million dollars,2018,31.0713
Beef and veal,North Carolina,Million dollars,2019,26.2517
Beef and veal,North Carolina,Million dollars,2020,28.4584
Beef and veal,North Carolina,Million dollars,2022,42.3696
Beef and veal,North Carolina,Million dollars,2023,32.2426
Beef and veal,North Carolina,Million dollars,2021,38.0707
Beef and veal,North Dakota,Million dollars,2000,41.3361
Beef and veal,North Dakota,Million dollars,2001,49.1914
Beef and veal,North Dakota,Million dollars,2002,51.4858
Beef and veal,North Dakota,Million dollars,2003,58.7521
Beef and veal,North Dakota,Million dollars,2004,12.5846
Beef and veal,North Dakota,Million dollars,2005,22.33
Beef and veal,North Dakota,Million dollars,2006,29.811
Beef and veal,North Dakota,Million dollars,2007,40.8299
Beef and veal,North Dakota,Million dollars,2008,46.3184
Beef and veal,North Dakota,Million dollars,2009,42.93
Beef and veal,North Dakota,Million dollars,2010,58.1343
Beef and veal,North Dakota,Million dollars,2011,78.46
Beef and veal,North Dakota,Million dollars,2012,72.9936
Beef and veal,North Dakota,Million dollars,2013,95.4618
Beef and veal,North Dakota,Million dollars,2014,117.2315
Beef and veal,North Dakota,Million dollars,2015,86.2087
Beef and veal,North Dakota,Million dollars,2016,87.5322
Beef and veal,North Dakota,Million dollars,2017,110.5177
Beef and veal,North Dakota,Million dollars,2018,129.3506
Beef and veal,North Dakota,Million dollars,2019,120.2516
Beef and veal,North Dakota,Million dollars,2020,108.1975
Beef and veal,North Dakota,Million dollars,2022,172.1883
Beef and veal,North Dakota,Million dollars,2023,145.5791
Beef and veal,North Dakota,Million dollars,2021,166.1217
Beef and veal,Ohio,Million dollars,2000,27.6774
Beef and veal,Ohio,Million dollars,2001,26.2338
Beef and veal,Ohio,Million dollars,2002,24.5411
Beef and veal,Ohio,Million dollars,2003,27.7594
Beef and veal,Ohio,Million dollars,2004,5.1358
Beef and veal,Ohio,Million dollars,2005,10.5883
Beef and veal,Ohio,Million dollars,2006,17.0114
Beef and veal,Ohio,Million dollars,2007,19.0143
Beef and veal,Ohio,Million dollars,2008,23.4707
Beef and veal,Ohio,Million dollars,2009,24.5755
Beef and veal,Ohio,Million dollars,2010,33.0569
Beef and veal,Ohio,Million dollars,2011,36.185
Beef and veal,Ohio,Million dollars,2012,47.8665
Beef and veal,Ohio,Million dollars,2013,45.4079
Beef and veal,Ohio,Million dollars,2014,57.5134
Beef and veal,Ohio,Million dollars,2015,57.0305
Beef and veal,Ohio,Million dollars,2016,54.5903
Beef and veal,Ohio,Million dollars,2017,65.5024
Beef and veal,Ohio,Million dollars,2018,71.5911
Beef and veal,Ohio,Million dollars,2019,76.2222
Beef and veal,Ohio,Million dollars,2020,71.6448
Beef and veal,Ohio,Million dollars,2022,118.5817
Beef and veal,Ohio,Million dollars,2023,89.5489
Beef and veal,Ohio,Million dollars,2021,82.4885
Beef and veal,Oklahoma,Million dollars,2000,203.6899
Beef and veal,Oklahoma,Million dollars,2001,156.6315
Beef and veal,Oklahoma,Million dollars,2002,158.5988
Beef and veal,Oklahoma,Million dollars,2003,201.9466
Beef and veal,Oklahoma,Million dollars,2004,40.7434
Beef and veal,Oklahoma,Million dollars,2005,75.379
Beef and veal,Oklahoma,Million dollars,2006,113.8033
Beef and veal,Oklahoma,Million dollars,2007,131.353
Beef and veal,Oklahoma,Million dollars,2008,158.0772
Beef and veal,Oklahoma,Million dollars,2009,162.673
Beef and veal,Oklahoma,Million dollars,2010,230.5547
Beef and veal,Oklahoma,Million dollars,2011,337.6078
Beef and veal,Oklahoma,Million dollars,2012,290.0952
Beef and veal,Oklahoma,Million dollars,2013,302.1145
Beef and veal,Oklahoma,Million dollars,2014,351.5353
Beef and veal,Oklahoma,Million dollars,2015,313.2415
Beef and veal,Oklahoma,Million dollars,2016,307.6351
Beef and veal,Oklahoma,Million dollars,2017,373.9886
Beef and veal,Oklahoma,Million dollars,2018,411.7481
Beef and veal,Oklahoma,Million dollars,2019,401.6594
Beef and veal,Oklahoma,Million dollars,2020,348.3427
Beef and veal,Oklahoma,Million dollars,2022,620.9118
Beef and veal,Oklahoma,Million dollars,2023,432.775
Beef and veal,Oklahoma,Million dollars,2021,494.9778
Beef and veal,Oregon,Million dollars,2000,42.79
Beef and veal,Oregon,Million dollars,2001,34.2507
Beef and veal,Oregon,Million dollars,2002,34.6272
Beef and veal,Oregon,Million dollars,2003,32.4712
Beef and veal,Oregon,Million dollars,2004,8.6666
Beef and veal,Oregon,Million dollars,2005,14.7606
Beef and veal,Oregon,Million dollars,2006,23.1105
Beef and veal,Oregon,Million dollars,2007,21.5442
Beef and veal,Oregon,Million dollars,2008,33.1296
Beef and veal,Oregon,Million dollars,2009,31.0737
Beef and veal,Oregon,Million dollars,2010,34.2358
Beef and veal,Oregon,Million dollars,2011,58.8483
Beef and veal,Oregon,Million dollars,2012,62.6348
Beef and veal,Oregon,Million dollars,2013,69.9065
Beef and veal,Oregon,Million dollars,2014,85.7758
Beef and veal,Oregon,Million dollars,2015,79.454
Beef and veal,Oregon,Million dollars,2016,77.8664
Beef and veal,Oregon,Million dollars,2017,89.6259
Beef and veal,Oregon,Million dollars,2018,88.8172
Beef and veal,Oregon,Million dollars,2019,90.1143
Beef and veal,Oregon,Million dollars,2020,86.1325
Beef and veal,Oregon,Million dollars,2022,137.3057
Beef and veal,Oregon,Million dollars,2023,126.4015
Beef and veal,Oregon,Million dollars,2021,124.1925
Beef and veal,Pennsylvania,Million dollars,2000,34.9299
Beef and veal,Pennsylvania,Million dollars,2001,35.1217
Beef and veal,Pennsylvania,Million dollars,2002,33.0002
Beef and veal,Pennsylvania,Million dollars,2003,37.6659
Beef and veal,Pennsylvania,Million dollars,2004,7.9315
Beef and veal,Pennsylvania,Million dollars,2005,13.2005
Beef and veal,Pennsylvania,Million dollars,2006,19.2899
Beef and veal,Pennsylvania,Million dollars,2007,24.3334
Beef and veal,Pennsylvania,Million dollars,2008,32.5344
Beef and veal,Pennsylvania,Million dollars,2009,29.2178
Beef and veal,Pennsylvania,Million dollars,2010,37.1784
Beef and veal,Pennsylvania,Million dollars,2011,50.9273
Beef and veal,Pennsylvania,Million dollars,2012,57.9111
Beef and veal,Pennsylvania,Million dollars,2013,63.3937
Beef and veal,Pennsylvania,Million dollars,2014,79.4523
Beef and veal,Pennsylvania,Million dollars,2015,59.1143
Beef and veal,Pennsylvania,Million dollars,2016,54.4363
Beef and veal,Pennsylvania,Million dollars,2017,67.9822
Beef and veal,Pennsylvania,Million dollars,2018,74.5823
Beef and veal,Pennsylvania,Million dollars,2019,78.9699
Beef and veal,Pennsylvania,Million dollars,2020,69.4085
Beef and veal,Pennsylvania,Million dollars,2022,95.9422
Beef and veal,Pennsylvania,Million dollars,2023,82.8081
Beef and veal,Pennsylvania,Million dollars,2021,93.4999
Beef and veal,Rhode Island,Million dollars,2000,0.0753
Beef and veal,Rhode Island,Million dollars,2001,0.0889
Beef and veal,Rhode Island,Million dollars,2002,0.0626
Beef and veal,Rhode Island,Million dollars,2003,0.0815
Beef and veal,Rhode Island,Million dollars,2004,0.016
Beef and veal,Rhode Island,Million dollars,2005,0.0356
Beef and veal,Rhode Island,Million dollars,2006,0.0408
Beef and veal,Rhode Island,Million dollars,2007,0.0448
Beef and veal,Rhode Island,Million dollars,2008,0.052
Beef and veal,Rhode Island,Million dollars,2009,0.055
Beef and veal,Rhode Island,Million dollars,2010,0.049
Beef and veal,Rhode Island,Million dollars,2011,0.1061
Beef and veal,Rhode Island,Million dollars,2012,0.1035
Beef and veal,Rhode Island,Million dollars,2013,0.1034
Beef and veal,Rhode Island,Million dollars,2014,0.1734
Beef and veal,Rhode Island,Million dollars,2015,0.1439
Beef and veal,Rhode Island,Million dollars,2016,0.1836
Beef and veal,Rhode Island,Million dollars,2017,0.0626
Beef and veal,Rhode Island,Million dollars,2018,0.1266
Beef and veal,Rhode Island,Million dollars,2019,0.0808
Beef and veal,Rhode Island,Million dollars,2020,0.1506
Beef and veal,Rhode Island,Million dollars,2022,0.1031
Beef and veal,Rhode Island,Million dollars,2023,0.0914
Beef and veal,Rhode Island,Million dollars,2021,0.072
Beef and veal,South Carolina,Million dollars,2000,11.5493
Beef and veal,South Carolina,Million dollars,2001,10.8265
Beef and veal,South Carolina,Million dollars,2002,8.8177
Beef and veal,South Carolina,Million dollars,2003,10.2344
Beef and veal,South Carolina,Million dollars,2004,2.4779
Beef and veal,South Carolina,Million dollars,2005,4.7276
Beef and veal,South Carolina,Million dollars,2006,5.8309
Beef and veal,South Carolina,Million dollars,2007,7.0241
Beef and veal,South Carolina,Million dollars,2008,8.347
Beef and veal,South Carolina,Million dollars,2009,7.8286
Beef and veal,South Carolina,Million dollars,2010,9.9358
Beef and veal,South Carolina,Million dollars,2011,15.1559
Beef and veal,South Carolina,Million dollars,2012,14.7025
Beef and veal,South Carolina,Million dollars,2013,12.195
Beef and veal,South Carolina,Million dollars,2014,17.8961
Beef and veal,South Carolina,Million dollars,2015,13.8423
Beef and veal,South Carolina,Million dollars,2016,13.1675
Beef and veal,South Carolina,Million dollars,2017,14.5114
Beef and veal,South Carolina,Million dollars,2018,14.9091
Beef and veal,South Carolina,Million dollars,2019,14.9378
Beef and veal,South Carolina,Million dollars,2020,14.791
Beef and veal,South Carolina,Million dollars,2022,19.319
Beef and veal,South Carolina,Million dollars,2023,20.3135
Beef and veal,South Carolina,Million dollars,2021,19.8662
Beef and veal,South Dakota,Million dollars,2000,125.0212
Beef and veal,South Dakota,Million dollars,2001,131.5904
Beef and veal,South Dakota,Million dollars,2002,125.6693
Beef and veal,South Dakota,Million dollars,2003,127.6322
Beef and veal,South Dakota,Million dollars,2004,28.2732
Beef and veal,South Dakota,Million dollars,2005,51.3005
Beef and veal,South Dakota,Million dollars,2006,77.1414
Beef and veal,South Dakota,Million dollars,2007,94.3495
Beef and veal,South Dakota,Million dollars,2008,113.0006
Beef and veal,South Dakota,Million dollars,2009,106.3068
Beef and veal,South Dakota,Million dollars,2010,163.3408
Beef and veal,South Dakota,Million dollars,2011,193.4809
Beef and veal,South Dakota,Million dollars,2012,186.4594
Beef and veal,South Dakota,Million dollars,2013,236.3877
Beef and veal,South Dakota,Million dollars,2014,279.7034
Beef and veal,South Dakota,Million dollars,2015,217.0701
Beef and veal,South Dakota,Million dollars,2016,242.7822
Beef and veal,South Dakota,Million dollars,2017,284.332
Beef and veal,South Dakota,Million dollars,2018,344.055
Beef and veal,South Dakota,Million dollars,2019,323.6958
Beef and veal,South Dakota,Million dollars,2020,280.129
Beef and veal,South Dakota,Million dollars,2022,460.703
Beef and veal,South Dakota,Million dollars,2023,365.643
Beef and veal,South Dakota,Million dollars,2021,425.9425
Beef and veal,Tennessee,Million dollars,2000,36.8795
Beef and veal,Tennessee,Million dollars,2001,34.3964
Beef and veal,Tennessee,Million dollars,2002,29.1623
Beef and veal,Tennessee,Million dollars,2003,40.797
Beef and veal,Tennessee,Million dollars,2004,9.1652
Beef and veal,Tennessee,Million dollars,2005,14.3216
Beef and veal,Tennessee,Million dollars,2006,20.8574
Beef and veal,Tennessee,Million dollars,2007,32.7456
Beef and veal,Tennessee,Million dollars,2008,35.227
Beef and veal,Tennessee,Million dollars,2009,30.1928
Beef and veal,Tennessee,Million dollars,2010,43.3535
Beef and veal,Tennessee,Million dollars,2011,51.14
Beef and veal,Tennessee,Million dollars,2012,62.172
Beef and veal,Tennessee,Million dollars,2013,57.2484
Beef and veal,Tennessee,Million dollars,2014,72.482
Beef and veal,Tennessee,Million dollars,2015,55.9244
Beef and veal,Tennessee,Million dollars,2016,53.648
Beef and veal,Tennessee,Million dollars,2017,62.2194
Beef and veal,Tennessee,Million dollars,2018,68.7882
Beef and veal,Tennessee,Million dollars,2019,59.6309
Beef and veal,Tennessee,Million dollars,2020,62.2722
Beef and veal,Tennessee,Million dollars,2022,92.0947
Beef and veal,Tennessee,Million dollars,2023,86.4821
Beef and veal,Tennessee,Million dollars,2021,84.2752
Beef and veal,Texas,Million dollars,2000,604.0159
Beef and veal,Texas,Million dollars,2001,572.1001
Beef and veal,Texas,Million dollars,2002,493.0695
Beef and veal,Texas,Million dollars,2003,669.4129
Beef and veal,Texas,Million dollars,2004,136.9407
Beef and veal,Texas,Million dollars,2005,205.1916
Beef and veal,Texas,Million dollars,2006,303.0351
Beef and veal,Texas,Million dollars,2007,401.6686
Beef and veal,Texas,Million dollars,2008,477.4446
Beef and veal,Texas,Million dollars,2009,489.0483
Beef and veal,Texas,Million dollars,2010,608.6693
Beef and veal,Texas,Million dollars,2011,961.0063
Beef and veal,Texas,Million dollars,2012,823.7573
Beef and veal,Texas,Million dollars,2013,923.9813
Beef and veal,Texas,Million dollars,2014,967.362
Beef and veal,Texas,Million dollars,2015,924.1869
Beef and veal,Texas,Million dollars,2016,845.6033
Beef and veal,Texas,Million dollars,2017,965.6442
Beef and veal,Texas,Million dollars,2018,1053.9772
Beef and veal,Texas,Million dollars,2019,1035.6566
Beef and veal,Texas,Million dollars,2020,1060.7949
Beef and veal,Texas,Million dollars,2022,1568.0464
Beef and veal,Texas,Million dollars,2023,1319.321
Beef and veal,Texas,Million dollars,2021,1453.7226
Beef and veal,Utah,Million dollars,2000,31.104
Beef and veal,Utah,Million dollars,2001,31.4476
Beef and veal,Utah,Million dollars,2002,29.9987
Beef and veal,Utah,Million dollars,2003,34.0888
Beef and veal,Utah,Million dollars,2004,7.3433
Beef and veal,Utah,Million dollars,2005,13.5982
Beef and veal,Utah,Million dollars,2006,13.6915
Beef and veal,Utah,Million dollars,2007,14.9133
Beef and veal,Utah,Million dollars,2008,19.9767
Beef and veal,Utah,Million dollars,2009,16.735
Beef and veal,Utah,Million dollars,2010,22.0046
Beef and veal,Utah,Million dollars,2011,27.855
Beef and veal,Utah,Million dollars,2012,31.9645
Beef and veal,Utah,Million dollars,2013,50.7508
Beef and veal,Utah,Million dollars,2014,70.2815
Beef and veal,Utah,Million dollars,2015,50.651
Beef and veal,Utah,Million dollars,2016,49.1907
Beef and veal,Utah,Million dollars,2017,54.1803
Beef and veal,Utah,Million dollars,2018,55.9752
Beef and veal,Utah,Million dollars,2019,59.8037
Beef and veal,Utah,Million dollars,2020,55.0023
Beef and veal,Utah,Million dollars,2022,88.5105
Beef and veal,Utah,Million dollars,2023,67.3377
Beef and veal,Utah,Million dollars,2021,72.2455
Beef and veal,Vermont,Million dollars,2000,4.5648
Beef and veal,Vermont,Million dollars,2001,4.9168
Beef and veal,Vermont,Million dollars,2002,3.6579
Beef and veal,Vermont,Million dollars,2003,3.9023
Beef and veal,Vermont,Million dollars,2004,0.8215
Beef and veal,Vermont,Million dollars,2005,1.3938
Beef and veal,Vermont,Million dollars,2006,1.9794
Beef and veal,Vermont,Million dollars,2007,2.5132
